,artist,track,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
7169,Hillsong UNITED,Another In The Fire - Acoustic,77yuZSTyvX71hl5ip4SRfd,50,0.547,0.439,0,-7.309,1,0.0276,0.819,0.0,0.213,0.203,132.028,337960,4
7170,Big Thief,Not - Edit,2reSrhID8BC9HpM2CkT3hT,54,0.514,0.729,11,-7.675,1,0.0615,0.434,9.39e-05,0.15,0.563,140.331,232914,4
7171,Marc Anthony,Lo Que Te Di,0W8NvcMsIuygeFnfNz2KnC,61,0.714,0.891,2,-4.223,1,0.0344,0.608,6.71e-06,0.288,0.652,97.073,241760,4
7172,The Driver Era,Afterglow,2KKBlK4IZUdjlJ7F0WGzU6,54,0.704,0.599,6,-7.349,1,0.0536,0.443,0.0,0.147,0.789,128.023,191008,4
7173,Of Monsters and Men,Sleepwalker,12o5Dx6tvMTxyhqWO3BcRj,56,0.608,0.742,2,-6.111,1,0.0386,0.0266,0.000674,0.376,0.672,80.01,199040,4
7174,Knocked Loose,Mistakes Like Fractures,1STzQvlMovhX8WOn8TcKmZ,53,0.266,0.94,4,-3.341,1,0.101,5.84e-05,1.31e-05,0.24,0.152,142.804,219592,4
7175,(Sandy) Alex G,Near,2lp6P4JlONz3vwJG9KoKUP,53,0.461,0.889,4,-6.183,1,0.0489,0.165,0.174,0.174,0.669,166.063,129475,4
7176,Boogie,Time (feat. Snoh Aalegra),0zrK5pcePHSPGvKr34DbxV,53,0.669,0.536,1,-8.257,0,0.204,0.659,0.0,0.096,0.379,100.938,145867,4
7177,André De Shields,"All I've Ever Known (""In spite of herself..."") [Intro]",0irU6Rwf7WBfLIZ8i1DGur,52,0.754,0.106,10,-19.676,0,0.0443,0.921,0.00101,0.111,0.59,119.784,40926,4
7178,Steven Universe,Crystal Gem Huddle,6MdKjT94M5aOOg7MHLVUy5,54,0.483,0.0456,0,-24.609,0,0.0342,0.591,0.774,0.115,0.0391,91.479,112383,4
7179,Steven Universe,Hijinks Will Ensue,2vKpfGqiLqnpAHZnKCvmqh,54,0.54,0.578,5,-13.44,0,0.0571,0.00347,0.678,0.226,0.152,178.025,116944,4
7180,Nef The Pharaoh,High Voltage (feat. Tyga),2yxRz5QEdmO96b6SBlYuPM,53,0.933,0.457,1,-9.798,1,0.335,0.214,0.0,0.32,0.694,95.036,174456,4
7181,Lil Keed,Proud Of Me (feat. Young Thug),4ETgPn8Pc9ljGSLLuvWonJ,53,0.675,0.719,0,-6.567,0,0.0743,0.104,0.0,0.252,0.568,121.999,209053,4
7182,Baby Smoove,Akorn,2BSC5k7wf96ofscMZAcFuh,50,0.758,0.421,11,-10.9,0,0.333,0.00915,0.0,0.315,0.581,98.068,139651,4
7183,Phora,How It Feels To Feel Nothing,3JN0LjlYbZ6aRld58zjUMA,51,0.612,0.534,1,-14.281,1,0.664,0.754,0.0,0.103,0.27,86.325,188614,4
7184,Flume,Friends - Edit,1F0BebSHEH9U4vORZisKW3,55,0.649,0.725,1,-5.329,0,0.142,0.25,0.0,0.748,0.388,138.86,196274,4
7185,Pesado,En Cambio Ella,1qb5iDigG7RVlZNexVLB41,59,0.597,0.59,11,-6.796,1,0.129,0.0308,0.0,0.289,0.561,168.145,164986,4
7186,Jarami,Post Mates (feat. Cautious Clay),4JclCBySJNsUApnATXnhNS,56,0.723,0.423,5,-7.549,0,0.0302,0.133,0.0,0.309,0.558,113.064,155702,4
7187,Mahmood,Soldi,4szQkW1CDHqbRZGltXJdd3,79,0.729,0.589,3,-9.871,0,0.0483,0.0361,0.0,0.305,0.349,95.065,195133,4
7188,Robin Schulz,Rather Be Alone,6L32iYnvUR3JrHjxShOESf,66,0.554,0.774,7,-5.813,0,0.117,0.0377,0.0,0.114,0.683,121.951,171919,4
7189,FEVER 333,ONE OF US,51rdCmgHBzg9HJ7eHjVRK9,58,0.645,0.85,7,-4.184,1,0.193,0.00119,0.0,0.241,0.45,90.999,204267,4
7190,Justine Skye,Too Much,0pboquWuL3V9wy3tvmAfs2,54,0.608,0.772,11,-6.775,1,0.0601,0.0694,0.0,0.172,0.5,163.896,160985,4
7191,Lauv,"fuck, i'm lonely (with Anne-Marie)",7elRvorDP9KEOHIisFgrJG,61,0.804,0.567,9,-6.445,1,0.0698,0.475,0.0,0.0679,0.695,95.002,198973,4
7192,Bad Suns,One Magic Moment,1RqoiUFqBzWiyAbFQdHJaa,52,0.31,0.741,6,-5.137,1,0.0366,0.000406,9.75e-05,0.107,0.289,120.065,217333,4
7193,Crown The Empire,what i am,1saCzowTZeWnT2N1dEAWIM,54,0.49,0.81,4,-4.414,0,0.0449,0.000152,0.0533,0.477,0.326,75.972,196184,4
7194,Dontcry,Untill Sunset,2Y3Dehoq9vKXGln5zw6KPJ,56,0.696,0.228,4,-21.247,0,0.0486,0.944,0.888,0.122,0.434,79.39,60101,4
7195,Binary One,Bio-Adoptions,0bnRIsBDDT2GyEozHCOcie,58,0.144,0.0418,0,-26.223,1,0.038,0.976,0.957,0.108,0.0754,139.441,204914,4
7196,Medasin,At Fault,3zgQUUsPXPE5fL6peSBZCU,52,0.638,0.414,1,-9.666,1,0.0715,0.416,6.78e-05,0.145,0.225,136.974,218533,4
